Jabatan: Teknisi Pemeliharaan Sarana dan Prasarana ,,,,,,
Konteks Soal,Soal,A,B,C,D,Jawaban
Mudah,Komponen yang berfungsi untuk memutus dan menghubungkan arus listrik secara manual disebut,MCB,Saklar,Relay,Fuse,B
Mudah,Satuan hambatan listrik dalam sistem internasional adalah …,Volt,Ampere,Ohm,Watt,C
Mudah,"Pada rangkaian listrik rumah, kabel fase biasanya memiliki warna ",Biru,Hijau kuning,Cokelat atau merah,Hitam,C
Mudah,Alat ukur yang digunakan untuk mengukur arus listrik adalah,Voltmeter,Wattmeter,Ammeter,Ohmmeter,C
Mudah,Standar tegangan listrik satu fasa di rumah tangga Indonesia adalah,110 V,220 V,380 V, 12 V,B
Mudah,Pipa yang digunakan sebagai jalur utama distribusi air dari sumber disebut,Pipa servis,Pipa induk,Pipa cabang,Pipa fleksibe,B
Mudah,Alat yang digunakan untuk mengukur tekanan air dalam instalasi adalah,Flow meter,Pressure gauge,Water meter,Hydrant,B
Mudah,Sistem instalasi air bersih yang menggunakan tekanan gravitasi umumnya menempatkan tandon di ,Dalam tanah,Lantai dasar,Atap bangunan,Lantai dua,C
Mudah,Fungsi dari water meter adalah untuk …,Meningkatkan tekanan air,Menyaring kotoran,Mengukur volume pemakaian air,Membuang udara dalam pipa,C
Mudah,Jenis pipa yang sering digunakan untuk instalasi air bersih karena ringan dan tidak berkarat adalah …,Pipa baja hitam,Pipa PVC,Pipa tembaga,Pipa besi cor,B
Mudah,Tujuan utama pemeliharaan peralatan elektronik adalah …,Membuat alat lebih cepat rusak,Menjaga alat tetap berfungsi optimal dan tahan lama,Mengganti alat setiap bulan,Menghemat waktu tanpa perawatan,B
Mudah,Perawatan rutin seperti membersihkan debu pada sirkuit dan ventilasi bertujuan untuk,Menambah beban listrik,Menghindari overheat dan kerusakan dini,Mengurangi efisiensi alat,Meningkatkan konsumsi daya,B
Mudah,Tindakan paling aman sebelum memperbaiki perangkat elektronik adalah,Mematikan sumber listrik dan melepas steker,Menyalakan alat,Meningkatkan tegangan daya,Mengguncang alat,A
