Jabatan,Asesment,Waktu (detik),Konteks Soal,Soal,A,B,C,D,Jawaban,Feedback
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,Komponen yang berfungsi untuk memutus dan menghubungkan arus listrik secara manual disebut,MCB,Saklar,Relay,Fuse,B,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,Satuan hambatan listrik dalam sistem internasional adalah …,Volt,Ampere,Ohm,Watt,C,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,"Pada rangkaian listrik rumah, kabel fase biasanya memiliki warna ",Biru,Hijau kuning,Cokelat atau merah,Hitam,C,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,Alat ukur yang digunakan untuk mengukur arus listrik adalah,Voltmeter,Wattmeter,Ammeter,Ohmmeter,C,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,Standar tegangan listrik satu fasa di rumah tangga Indonesia adalah,110 V,220 V,380 V, 12 V,B,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,Pipa yang digunakan sebagai jalur utama distribusi air dari sumber disebut,Pipa servis,Pipa induk,Pipa cabang,Pipa fleksibe,B,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,Alat yang digunakan untuk mengukur tekanan air dalam instalasi adalah,Flow meter,Pressure gauge,Water meter,Hydrant,B,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,Sistem instalasi air bersih yang menggunakan tekanan gravitasi umumnya menempatkan tandon di ,Dalam tanah,Lantai dasar,Atap bangunan,Lantai dua,C,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,Fungsi dari water meter adalah untuk …,Meningkatkan tekanan air,Menyaring kotoran,Mengukur volume pemakaian air,Membuang udara dalam pipa,C,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,Jenis pipa yang sering digunakan untuk instalasi air bersih karena ringan dan tidak berkarat adalah …,Pipa baja hitam,Pipa PVC,Pipa tembaga,Pipa besi cor,B,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,Tujuan utama pemeliharaan peralatan elektronik adalah …,Membuat alat lebih cepat rusak,Menjaga alat tetap berfungsi optimal dan tahan lama,Mengganti alat setiap bulan,Menghemat waktu tanpa perawatan,B,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,Perawatan rutin seperti membersihkan debu pada sirkuit dan ventilasi bertujuan untuk,Menambah beban listrik,Menghindari overheat dan kerusakan dini,Mengurangi efisiensi alat,Meningkatkan konsumsi daya,B,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,Tindakan paling aman sebelum memperbaiki perangkat elektronik adalah,Mematikan sumber listrik dan melepas steker,Menyalakan alat,Meningkatkan tegangan daya,Mengguncang alat,A,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,Perawatan alat elektronik dilakukan agar …,Anggaran perawatan meningkat,Umur pakai alat lebih lama,Alat mudah rusak,Tidak perlu pemeriksaan lagi,B,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,Pengukuran tegangan dilakukan menggunakan alat …,Ohmmeter,Termometer,Osiloskop saja,Voltmeter atau Multimeter,D,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,"Pada sistem kelistrikan elektronik, hubung singkat (short circuit) dapat disebabkan oleh …",Kelembapan tinggi atau kabel rusak,Tegangan stabil,Penggunaan daya sesuai standar,Alat tidak pernah digunakan,A,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,Pemeriksaan fisik pada peralatan elektronik sebaiknya dilakukan,Sekali dalam 5 tahun,Ketika rusak saja,Secara berkala sesuai jadwal pemeliharaan,Hanya saat audit,C,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,"Jika alat elektronik mengeluarkan bau terbakar, tindakan pertama adalah …",Meningkatkan tegangan,Mematikan daya segera dan memeriksa sumber masalah,Menyemprot air,Menutup ventilasi,B,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,Tanda kapasitor rusak biasanya ditunjukkan oleh …,Permukaan datar dan bersih,Bagian atas menggembung atau bocor,Warna mengkilap,Tidak ada perubahan bentuk,B,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,"Saat menggunakan solder, langkah keselamatan yang benar adalah …",Memegang ujung besi solder,Menggunakan alas tahan panas dan ventilasi cukup,Menyentuh langsung logam cair,Tidak memakai sarung tangan,B,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,"Dalam proses usulan pengadaan peralatan laboratorium, dokumen “Berita Acara Pemeriksaan Barang” digunakan untuk…",Menilai kinerja vendor,Menentukan spesifikasi kebutuhan awal,Membuktikan hasil pengecekan fisik dan kesesuaian spesifikasi,Merekam kegiatan pengguna,C,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,"Jika hasil survei lapangan menunjukkan kerusakan ringan pada plafon, langkah teknis pertama sebelum mengusulkan perbaikan adalah…",Membuat RAB langsung,Menyusun gambar kondisi eksisting dan estimasi volume pekerjaan,Mengirim surat ke vendor,Membuat laporan tanpa data teknis,B,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,SOP pengusulan pengadaan sarana prasarana biasanya mensyaratkan lampiran berupa…,Nota dinas tanpa justifikasi teknis,Daftar harga dari toko daring,"Analisis kebutuhan, gambar teknis, dan estimasi biaya",Surat permohonan informal,C,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,"Dalam penyusunan rencana kerja perawatan, prioritas pekerjaan ditentukan berdasarkan…",Kebutuhan pengguna saja,Tingkat risiko dan urgensi kerusakan terhadap fungsi layanan,Urutan masuk permintaan,Usia bangunan,B,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,"Ketika pekerjaan perawatan overlapping di area sama, solusi teknis terbaik adalah…",Melaksanakan bersamaan,Mengatur penjadwalan ulang berbasis analisis risiko kerja dan keselamatan,Menunda tanpa laporan,Menyuruh vendor menyesuaikan sendiri,B,
